date,gdp,urate
1/1/1948,265.742,3.4
4/1/1948,272.567,3.9
7/1/1948,279.196,3.6
10/1/1948,280.366,3.7
1/1/1949,275.034,4.3
4/1/1949,271.351,5.3
7/1/1949,272.889,6.7
10/1/1949,270.627,7.9
1/1/1950,280.828,6.5
4/1/1950,290.383,5.8
7/1/1950,308.153,5
10/1/1950,319.945,4.2
1/1/1951,336,3.7
4/1/1951,344.09,3.1
7/1/1951,351.385,3.1
10/1/1951,356.178,3.5
1/1/1952,359.82,3.2
4/1/1952,361.03,2.9
7/1/1952,367.701,3.2
10/1/1952,380.812,3
1/1/1953,387.98,2.9
4/1/1953,391.749,2.7
7/1/1953,391.171,2.6
10/1/1953,385.97,3.1
1/1/1954,385.345,4.9
4/1/1954,386.121,5.9
7/1/1954,390.996,5.8
10/1/1954,399.734,5.7
1/1/1955,413.073,4.9
4/1/1955,421.532,4.7
7/1/1955,430.221,4
10/1/1955,437.092,4.3
1/1/1956,439.746,4
4/1/1956,446.01,4
7/1/1956,451.191,4.4
10/1/1956,460.463,3.9
1/1/1957,469.779,4.2
4/1/1957,472.025,3.9
7/1/1957,479.49,4.2
10/1/1957,474.864,4.5
1/1/1958,467.54,5.8
4/1/1958,471.978,7.4
7/1/1958,485.841,7.5
10/1/1958,499.555,6.7
1/1/1959,510.33,6
4/1/1959,522.653,5.2
7/1/1959,525.034,5.1
10/1/1959,528.6,5.7
1/1/1960,542.648,5.2
4/1/1960,541.08,5.2
7/1/1960,545.604,5.5
10/1/1960,540.197,6.1
1/1/1961,545.018,6.6
4/1/1961,555.545,7
7/1/1961,567.664,7
10/1/1961,580.612,6.5
1/1/1962,594.013,5.8
4/1/1962,600.366,5.6
7/1/1962,609.027,5.4
10/1/1962,612.28,5.4
1/1/1963,621.672,5.7
4/1/1963,629.752,5.7
7/1/1963,644.444,5.6
10/1/1963,653.938,5.5
1/1/1964,669.822,5.6
4/1/1964,678.674,5.3
7/1/1964,692.031,4.9
10/1/1964,697.319,5.1
1/1/1965,717.79,4.9
4/1/1965,730.191,4.8
7/1/1965,749.323,4.4
10/1/1965,771.857,4.2
1/1/1966,795.734,4
4/1/1966,804.981,3.8
7/1/1966,819.638,3.8
10/1/1966,833.302,3.7
1/1/1967,844.17,3.9
4/1/1967,848.983,3.8
7/1/1967,865.233,3.8
10/1/1967,881.439,4
1/1/1968,909.387,3.7
4/1/1968,934.344,3.5
7/1/1968,950.825,3.7
10/1/1968,968.03,3.4
1/1/1969,993.337,3.4
4/1/1969,1009.02,3.4
7/1/1969,1029.956,3.5
10/1/1969,1038.147,3.7
1/1/1970,1051.2,3.9
4/1/1970,1067.375,4.6
7/1/1970,1086.059,5
10/1/1970,1088.608,5.5
1/1/1971,1135.156,5.9
4/1/1971,1156.271,5.9
7/1/1971,1177.675,6
10/1/1971,1190.297,5.8
1/1/1972,1230.609,5.8
4/1/1972,1266.369,5.7
7/1/1972,1290.566,5.6
10/1/1972,1328.904,5.6
1/1/1973,1377.49,4.9
4/1/1973,1413.887,5
7/1/1973,1433.838,4.8
10/1/1973,1476.289,4.6
1/1/1974,1491.209,5.1
4/1/1974,1530.056,5.1
7/1/1974,1560.026,5.5
10/1/1974,1599.679,6
1/1/1975,1616.116,8.1
4/1/1975,1651.853,8.8
7/1/1975,1709.82,8.6
10/1/1975,1761.831,8.4
1/1/1976,1820.487,7.9
4/1/1976,1852.332,7.7
7/1/1976,1886.558,7.8
10/1/1976,1934.273,7.7
1/1/1977,1988.648,7.5
4/1/1977,2055.909,7.2
7/1/1977,2118.473,6.9
10/1/1977,2164.27,6.8
1/1/1978,2202.76,6.4
4/1/1978,2331.633,6.1
7/1/1978,2395.053,6.2
10/1/1978,2476.949,5.8
1/1/1979,2526.61,5.9
4/1/1979,2591.247,5.8
7/1/1979,2667.565,5.7
10/1/1979,2723.883,6
1/1/1980,2789.842,6.3
4/1/1980,2797.352,6.9
7/1/1980,2856.483,7.8
10/1/1980,2985.557,7.5
1/1/1981,3124.206,7.5
4/1/1981,3162.532,7.2
7/1/1981,3260.609,7.2
10/1/1981,3280.818,7.9
1/1/1982,3274.302,8.6
4/1/1982,3331.972,9.3
7/1/1982,3366.322,9.8
10/1/1982,3402.561,10.4
1/1/1983,3473.413,10.4
4/1/1983,3578.848,10.2
7/1/1983,3689.179,9.4
10/1/1983,3794.706,8.8
1/1/1984,3908.054,8
4/1/1984,4009.601,7.7
7/1/1984,4084.25,7.5
10/1/1984,4148.551,7.4
1/1/1985,4230.168,7.3
4/1/1985,4294.887,7.3
7/1/1985,4386.773,7.4
10/1/1985,4444.094,7.1
1/1/1986,4507.894,6.7
4/1/1986,4545.34,7.1
7/1/1986,4607.669,7
10/1/1986,4657.627,7
1/1/1987,4722.156,6.6
4/1/1987,4806.16,6.3
7/1/1987,4884.555,6.1
10/1/1987,5007.994,6
1/1/1988,5073.372,5.7
4/1/1988,5190.036,5.4
7/1/1988,5282.835,5.4
10/1/1988,5399.509,5.4
1/1/1989,5511.253,5.4
4/1/1989,5612.463,5.2
7/1/1989,5695.365,5.2
10/1/1989,5747.237,5.3
1/1/1990,5872.701,5.4
4/1/1990,5960.028,5.4
7/1/1990,6015.116,5.5
10/1/1990,6004.733,5.9
1/1/1991,6035.178,6.4
4/1/1991,6126.862,6.7
7/1/1991,6205.937,6.8
10/1/1991,6264.54,7
1/1/1992,6363.102,7.3
4/1/1992,6470.763,7.4
7/1/1992,6566.641,7.7
10/1/1992,6680.803,7.3
1/1/1993,6729.459,7.3
4/1/1993,6808.939,7.1
7/1/1993,6882.098,6.9
10/1/1993,7013.738,6.8
1/1/1994,7115.652,6.6
4/1/1994,7246.931,6.4
7/1/1994,7331.075,6.1
10/1/1994,7455.288,5.8
1/1/1995,7522.289,5.6
4/1/1995,7580.997,5.8
7/1/1995,7683.125,5.7
10/1/1995,7772.586,5.5
1/1/1996,7868.468,5.6
4/1/1996,8032.84,5.6
7/1/1996,8131.408,5.5
10/1/1996,8259.771,5.2
1/1/1997,8362.655,5.3
4/1/1997,8518.825,5.1
7/1/1997,8662.823,4.9
10/1/1997,8765.907,4.7
1/1/1998,8866.48,4.6
4/1/1998,8969.699,4.3
7/1/1998,9121.097,4.5
10/1/1998,9293.991,4.5
1/1/1999,9417.264,4.3
4/1/1999,9524.152,4.3
7/1/1999,9681.856,4.3
10/1/1999,9899.378,4.1
1/1/2000,10002.857,4
4/1/2000,10247.679,3.8
7/1/2000,10319.825,4
10/1/2000,10439.025,3.9
1/1/2001,10472.879,4.2
4/1/2001,10597.822,4.4
7/1/2001,10596.294,4.6
10/1/2001,10660.294,5.3
1/1/2002,10788.952,5.7
4/1/2002,10893.207,5.9
7/1/2002,10992.051,5.8
10/1/2002,11071.463,5.7
1/1/2003,11183.507,5.8
4/1/2003,11312.875,6
7/1/2003,11567.326,6.2
10/1/2003,11769.275,6
1/1/2004,11920.169,5.7
4/1/2004,12108.987,5.6
7/1/2004,12303.34,5.5
10/1/2004,12522.425,5.5
1/1/2005,12761.337,5.3
4/1/2005,12910.022,5.2
7/1/2005,13142.873,5
10/1/2005,13332.316,5
1/1/2006,13603.933,4.7
4/1/2006,13749.806,4.7
7/1/2006,13867.469,4.7
10/1/2006,14037.228,4.4
1/1/2007,14208.569,4.6
4/1/2007,14382.363,4.5
7/1/2007,14535.003,4.7
10/1/2007,14681.501,4.7
1/1/2008,14651.039,5
4/1/2008,14805.611,5
7/1/2008,14835.187,5.8
10/1/2008,14559.543,6.5
1/1/2009,14394.547,7.8
4/1/2009,14352.85,9
7/1/2009,14420.312,9.5
10/1/2009,14628.021,10
1/1/2010,14721.35,9.8
4/1/2010,14926.098,9.9
7/1/2010,15079.917,9.4
10/1/2010,15240.843,9.4
1/1/2011,15285.828,9.1
4/1/2011,15496.189,9.1
7/1/2011,15591.85,9
10/1/2011,15796.46,8.8
1/1/2012,16019.758,8.3
4/1/2012,16152.257,8.2
7/1/2012,16257.151,8.2
10/1/2012,16358.863,7.8
1/1/2013,16569.591,8
4/1/2013,16637.926,7.6
7/1/2013,16848.748,7.3
10/1/2013,17083.137,7.2
1/1/2014,17104.555,6.6
4/1/2014,17432.909,6.2
7/1/2014,17721.657,6.2
10/1/2014,17849.912,5.7
1/1/2015,18003.399,5.7
4/1/2015,18223.577,5.4
7/1/2015,18347.425,5.2
10/1/2015,18378.803,5
1/1/2016,18470.156,4.8
4/1/2016,18656.207,5.1
7/1/2016,18821.359,4.8
10/1/2016,19032.58,4.9
1/1/2017,19237.435,4.7
4/1/2017,19379.232,4.5
7/1/2017,19617.288,4.3
10/1/2017,19937.963,4.1
1/1/2018,20242.215,4
4/1/2018,20552.653,4
