,PCE,AHE,PCEPI
3/1/2006,9122.1,20.04,88.473
4/1/2006,9174.8,20.17,88.85
5/1/2006,9215.1,20.13,89.07
6/1/2006,9240.8,20.22,89.285
7/1/2006,9322.6,20.3,89.601
8/1/2006,9321.8,20.32,89.885
9/1/2006,9354.7,20.41,89.646
10/1/2006,9373.2,20.44,89.428
11/1/2006,9380.2,20.48,89.461
12/1/2006,9469,20.57,89.789
1/1/2007,9516.3,20.6,90.109
2/1/2007,9546.8,20.68,90.394
3/1/2007,9585.1,20.72,90.715
4/1/2007,9615.7,20.79,90.906
5/1/2007,9651.3,20.84,91.16
6/1/2007,9667.3,20.95,91.352
7/1/2007,9709.6,20.96,91.499
8/1/2007,9753.9,21,91.558
9/1/2007,9797.9,21.04,91.901
10/1/2007,9827,21.06,92.162
11/1/2007,9897.8,21.12,92.642
12/1/2007,9908.4,21.18,92.855
1/1/2008,9930,21.19,93.102
2/1/2008,9913.4,21.26,93.298
3/1/2008,9959.4,21.36,93.587
4/1/2008,9996.8,21.38,93.785
5/1/2008,10053.8,21.47,94.206
6/1/2008,10107.9,21.52,94.876
7/1/2008,10104.7,21.59,95.285
8/1/2008,10094.7,21.7,95.204
9/1/2008,10043.5,21.72,95.307
10/1/2008,9960.3,21.76,94.727
11/1/2008,9820.8,21.88,93.643
12/1/2008,9730.7,21.94,93.139
1/1/2009,9783.8,21.97,93.173
2/1/2009,9766,21.99,93.363
3/1/2009,9718.5,22.06,93.284
4/1/2009,9724.8,22.09,93.432
5/1/2009,9748.9,22.1,93.546
6/1/2009,9806.9,22.13,94.1
7/1/2009,9841.7,22.18,94.106
8/1/2009,9961,22.23,94.378
9/1/2009,9883.4,22.26,94.536
10/1/2009,9931.9,22.3,94.899
11/1/2009,9940.5,22.36,95.135
12/1/2009,9998.9,22.36,95.175
1/1/2010,10001.8,22.41,95.366
2/1/2010,10030.6,22.45,95.351
3/1/2010,10089.1,22.45,95.468
4/1/2010,10112.9,22.49,95.507
5/1/2010,10131,22.53,95.527
6/1/2010,10151.4,22.53,95.474
7/1/2010,10184.7,22.59,95.556
8/1/2010,10228.2,22.62,95.684
9/1/2010,10249,22.67,95.773
10/1/2010,10304.7,22.74,96.057
11/1/2010,10354.7,22.73,96.238
12/1/2010,10392.1,22.76,96.456
1/1/2011,10435.5,22.85,96.774
2/1/2011,10470.1,22.87,97.054
3/1/2011,10550.5,22.87,97.446
4/1/2011,10587.6,22.92,97.854
5/1/2011,10612,22.99,98.153
6/1/2011,10636.8,23.01,98.136
7/1/2011,10677.5,23.1,98.316
8/1/2011,10700.6,23.07,98.555
9/1/2011,10738.1,23.11,98.699
10/1/2011,10753.1,23.2,98.705
11/1/2011,10759.5,23.18,98.908
12/1/2011,10772.2,23.21,98.965
1/1/2012,10862.1,23.24,99.32
2/1/2012,10953.5,23.27,99.556
3/1/2012,10951.8,23.36,99.737
4/1/2012,10979.7,23.39,99.873
5/1/2012,10968.6,23.39,99.755
6/1/2012,10946.3,23.46,99.701
7/1/2012,10977.2,23.51,99.738
8/1/2012,11004.1,23.49,100.07
9/1/2012,11061.5,23.57,100.378
10/1/2012,11099.8,23.56,100.672
11/1/2012,11136.8,23.63,100.605
12/1/2012,11140.5,23.73,100.595
1/1/2013,11202.8,23.76,100.782
2/1/2013,11239.6,23.77,101.149
3/1/2013,11227.1,23.81,101.015
4/1/2013,11205.4,23.87,100.94
5/1/2013,11244.6,23.89,101.006
6/1/2013,11268.8,23.97,101.226
7/1/2013,11296.7,23.98,101.351
8/1/2013,11329.2,24.03,101.503
9/1/2013,11366.9,24.06,101.545
10/1/2013,11419.8,24.09,101.711
11/1/2013,11487.6,24.16,101.865
12/1/2013,11517.9,24.17,102.065
1/1/2014,11503.7,24.21,102.254
2/1/2014,11574.5,24.32,102.308
3/1/2014,11644.5,24.31,102.509
4/1/2014,11707.1,24.34,102.698
5/1/2014,11750.9,24.4,102.866
6/1/2014,11812.7,24.45,102.976
7/1/2014,11858.1,24.48,103.128
