ds,yosemite,sequoia,kings,gasoline (cpi),Temperature (F)
1979-01-01,72701,25338,19924,0.716,40.2
1979-02-01,72926,22334,18242,0.73,42.6
1979-03-01,87950,24271,18114,0.755,48.3
1979-04-01,136275,47410,37101,0.802,52.3
1979-05-01,210756,63854,63777,0.844,62.6
1979-06-01,301727,101152,111795,0.901,69.4
1979-07-01,379640,146109,156792,0.949,73.5
1979-08-01,427454,163110,163878,0.988,70.9
1979-09-01,293424,102024,99460,1.02,70.9
1979-10-01,193825,51956,76770,1.028,60
1979-11-01,99485,32888,25652,1.041,48.1
1979-12-01,74619,19130,12670,1.065,45.1
1980-01-01,66677,14085,14741,1.131,44.8
1980-02-01,75612,18200,22240,1.207,47.7
1980-03-01,99896,22749,10099,1.252,46.1
1980-04-01,120970,30354,11489,1.264,53.4
1980-05-01,212971,67881,56962,1.266,57.3
1980-06-01,309470,115603,105143,1.269,63.9
1980-07-01,416583,173770,166250,1.271,74.2
1980-08-01,470491,185655,198338,1.267,71.7
1980-09-01,289108,109331,100302,1.257,67.2
1980-10-01,238586,59511,66108,1.25,61.3
1980-11-01,118024,38554,40740,1.25,50.4
1980-12-01,71894,26704,26653,1.258,44.9
1981-01-01,60669,27645,23768,1.298,45.4
1981-02-01,90274,25681,20102,1.382,46.9
1981-03-01,83104,21775,15349,1.417,47.4
1981-04-01,152469,38978,19701,1.412,55.1
1981-05-01,282531,90972,68800,1.4,61.3
1981-06-01,337392,139285,129944,1.391,73.3
1981-07-01,404269,187727,171904,1.382,74.8
1981-08-01,438123,223365,157059,1.376,74.3
1981-09-01,313946,158730,95669,1.376,69.6
1981-10-01,190612,74986,41462,1.371,55.4
1981-11-01,95862,54104,15462,1.369,50.9
1981-12-01,67642,39754,17630,1.365,45.1
1982-01-01,60817,44619,16735,1.358,38.7
1982-02-01,68307,27170,18663,1.334,46.2
1982-03-01,70702,32604,17837,1.284,45.7
1982-04-01,73259,48034,17399,1.225,51.2
1982-05-01,254169,95434,70816,1.237,61.3
1982-06-01,363303,128891,110130,1.309,65
1982-07-01,425198,186728,177301,1.331,72.3
1982-08-01,432776,219550,196353,1.323,72.6
1982-09-01,303673,128234,109741,1.307,65.5
1982-10-01,206821,62353,59197,1.295,57.8
1982-11-01,85193,27422,20039,1.283,45.5
1982-12-01,71369,19461,16833,1.26,41.5
1983-01-01,64748,23111,18988,1.23,41.5
1983-02-01,64554,20739,16406,1.187,46.1
1983-03-01,85104,20381,15988,1.152,47.8
1983-04-01,90376,29103,15759,1.215,49
1983-05-01,214870,36738,23961,1.259,60.3
1983-06-01,266832,117644,86066,1.277,66.7
1983-07-01,441436,189114,155307,1.288,70
1983-08-01,473638,174687,185663,1.285,73.1
1983-09-01,350841,122090,123432,1.274,70.3
1983-10-01,242778,65245,72422,1.255,60.6
1983-11-01,87561,31283,29159,1.241,48.2
1983-12-01,74726,24098,22604,1.231,44.9
1984-01-01,75894,28507,27727,1.216,44
1984-02-01,83589,29305,29655,1.209,45.1
1984-03-01,102049,35855,32240,1.21,51.4
1984-04-01,147755,52027,42301,1.227,51.7
1984-05-01,276877,97382,92697,1.236,65
1984-06-01,363876,138471,130025,1.229,67.7
1984-07-01,414711,176356,161812,1.212,77.1
1984-08-01,494860,176192,163888,1.196,74.5
1984-09-01,370899,130606,136681,1.203,72.2
1984-10-01,217730,55235,62373,1.209,55
1984-11-01,101528,31687,28118,1.207,47
1984-12-01,88699,28009,29745,1.193,40.3
1985-01-01,84266,28235,25841,1.148,39.4
1985-02-01,86738,25850,23540,1.131,45.1
1985-03-01,101035,32486,27226,1.159,45.3
1985-04-01,158974,51586,41122,1.205,57.8
1985-05-01,314386,93728,85512,1.231,60.1
1985-06-01,375841,127956,110626,1.241,72.1
1985-07-01,447936,167641,165174,1.242,76.4
1985-08-01,498319,179823,175699,1.229,71.5
1985-09-01,344277,116068,103557,1.216,63.3
1985-10-01,230095,56798,56256,1.204,57.7
1985-11-01,105532,29111,25827,1.207,45.8
1985-12-01,84553,30186,34076,1.208,40.8
1986-01-01,92835,31886,35798,1.194,48.3
1986-02-01,74133,21898,19316,1.12,47.9
1986-03-01,114441,37530,28565,0.981,52.5
1986-04-01,152019,58270,50360,0.888,53.6
1986-05-01,291811,110011,96620,0.923,61.5
1986-06-01,362173,144532,131429,0.955,69.8
1986-07-01,439823,188908,190991,0.89,72.2
1986-08-01,522908,198976,191749,0.843,74.9
1986-09-01,340843,112033,105393,0.86,62.1
1986-10-01,245733,68188,84278,0.831,58.7
1986-11-01,151081,46739,49705,0.821,50.9
1986-12-01,88917,37556,44581,0.823,42.8
1987-01-01,94639,34064,34834,0.862,40.2
1987-02-01,98799,32340,33469,0.905,45.1
1987-03-01,109617,32928,32689,0.912,47.9
1987-04-01,192048,74103,59692,0.934,59.2
1987-05-01,373894,132960,116526,0.941,63.1
1987-06-01,419479,151253,149943,0.958,70.2
1987-07-01,487915,204346,184338,0.971,69.2
1987-08-01,526850,211905,198763,0.995,72.8
1987-09-01,328866,125518,119573,0.99,68.7
1987-10-01,281719,67273,79283,0.976,63.6
1987-11-01,146909,43759,41637,0.976,47.9
1987-12-01,91540,28940,30425,0.961,40.7
1988-01-01,94583,28557,26047,0.933,42.4
1988-02-01,109552,33204,34333,0.913,47.9
1988-03-01,153436,46932,42725,0.904,50.9
1988-04-01,190484,61744,48728,0.93,54.6
1988-05-01,362008,113130,101128,0.955,59.3
1988-06-01,404321,135794,127729,0.955,67.4
1988-07-01,477167,181437,179137,0.967,77.3
1988-08-01,502674,180107,179637,0.987,73.7
1988-09-01,385509,121807,117842,0.974,69.1
1988-10-01,292886,66396,85651,0.957,63.3
1988-11-01,144254,37818,41690,0.949,48.9
1988-12-01,99807,24203,23048,0.93,41.3
1989-01-01,102646,28075,30770,0.918,39.7
1989-02-01,96527,26134,22031,0.926,42.5
1989-03-01,143858,42336,34126,0.94,50.8
1989-04-01,204102,67884,53807,1.065,58.9
1989-05-01,377940,117890,111393,1.119,60.5
1989-06-01,413068,138160,126739,1.114,68.4
1989-07-01,511957,177925,176264,1.092,74.5
1989-08-01,524395,181660,178942,1.057,71.1
1989-09-01,390364,124199,133315,1.029,66.8
1989-10-01,264670,73557,89122,1.027,58.2
1989-11-01,163939,45946,47775,0.999,50.7
1989-12-01,114693,32254,33065,0.98,42.3
1990-01-01,99686,25321,26604,1.042,42.2
1990-02-01,101236,27815,25598,1.037,42
1990-03-01,145037,41787,37590,1.023,50.4
1990-04-01,237815,83797,58466,1.044,57.6
1990-05-01,364549,130625,102842,1.061,59.8
1990-06-01,424933,143425,159930,1.088,68.1
1990-07-01,482066,171477,186471,1.084,75.8
1990-08-01,367502,181087,186938,1.19,72.8
1990-09-01,364838,120922,128544,1.294,68.2
1990-10-01,276025,67525,76732,1.378,62.2
1990-11-01,162254,44399,47479,1.377,49.2
1990-12-01,98998,25358,25673,1.354,37.8
1991-01-01,104673,26553,30164,1.247,43.1
1991-02-01,111073,32228,29817,1.143,50.8
1991-03-01,117735,31342,25853,1.082,43.9
1991-04-01,187607,55763,42660,1.104,51.6
1991-05-01,354908,122256,108788,1.156,57.2
1991-06-01,396841,148495,144494,1.16,65.9
1991-07-01,521822,194041,189910,1.127,75.4
1991-08-01,587904,218094,213332,1.14,71.4
1991-09-01,441553,132071,130229,1.143,72.3
1991-10-01,320769,82800,83938,1.122,64.4
1991-11-01,164072,47939,43917,1.134,51
1991-12-01,114144,28696,27920,1.123,43.2
1992-01-01,126603,26510,30226,1.073,40.6
1992-02-01,120908,26391,21856,1.054,48.7
1992-03-01,149651,37107,26332,1.058,50.4
1992-04-01,251872,66108,36144,1.079,58.4
1992-05-01,425555,159885,70283,1.136,67.1
1992-06-01,486890,135323,80927,1.179,68
1992-07-01,568070,152436,105051,1.174,72.3
1992-08-01,586868,135615,92657,1.158,75.6
1992-09-01,470798,97943,79987,1.158,69.7
1992-10-01,356333,69048,55395,1.154,62.3
1992-11-01,163364,33538,16418,1.159,49.3
1992-12-01,112606,21191,22170,1.136,39.9
1993-01-01,101503,21454,19951,1.117,41.4
1993-02-01,105315,21625,20161,1.108,44.4
1993-03-01,151472,27259,24123,1.098,52.3
1993-04-01,246136,66686,33816,1.112,53.7
1993-05-01,378548,129675,69351,1.129,61.2
1993-06-01,446235,135275,77216,1.13,67.1
1993-07-01,604248,195877,100960,1.109,71.7
1993-08-01,634588,191021,108697,1.097,72
1993-09-01,503629,143704,81362,1.085,68.8
1993-10-01,368978,76426,53900,1.127,61
1993-11-01,171108,35318,26877,1.113,49
1993-12-01,127885,22232,20101,1.07,41.7
1994-01-01,131216,32358,20974,1.043,43.9
1994-02-01,127303,20157,14224,1.051,43.4
1994-03-01,186008,26541,27654,1.045,52.1
1994-04-01,247425,33369,30859,1.064,55
1994-05-01,384114,158701,60380,1.08,60.2
1994-06-01,495097,129570,101433,1.106,69.9
1994-07-01,585940,195432,129593,1.136,75.4
1994-08-01,666555,176626,120950,1.182,74.9
1994-09-01,511954,105941,87965,1.177,68.2
1994-10-01,336448,83535,80213,1.152,57.7
1994-11-01,146675,51145,28583,1.163,42.4
1994-12-01,143382,20758,23102,1.143,41
1995-01-01,123844,19960,20864,1.129,44.8
1995-02-01,151102,20012,8329,1.12,49.1
1995-03-01,124710,23161,17727,1.115,48.2
1995-04-01,250592,52389,132994,1.14,52
1995-05-01,279575,81563,165356,1.2,57.2
1995-06-01,449511,120054,33085,1.226,65.1
1995-07-01,663052,206392,138197,1.195,72.8
1995-08-01,656064,163897,95547,1.164,74.1
1995-09-01,551886,59699,73947,1.148,69.7
1995-10-01,409319,52890,110789,1.127,62.1
1995-11-01,210295,30254,28764,1.101,55.4
1995-12-01,88456,14311,7195,1.101,45.8
1996-01-01,104086,23783,34268,1.129,44.3
1996-02-01,135115,22668,17663,1.124,48
1996-03-01,180709,36223,20857,1.162,50.6
1996-04-01,253532,43000,33460,1.251,55.9
1996-05-01,347364,90135,66479,1.323,61.7
1996-06-01,527284,112951,70494,1.299,69.7
1996-07-01,622855,156392,83968,1.272,77.4
1996-08-01,679862,160107,48042,1.24,76
1996-09-01,517934,78200,55137,1.234,67.5
1996-10-01,365313,57750,35138,1.227,58.1
1996-11-01,172037,31823,20364,1.25,49.8
1996-12-01,140116,25028,16879,1.26,44.9
1997-01-01,12520,14392,16037,1.261,43.9
1997-02-01,64201,16713,18529,1.255,45.8
1997-03-01,136476,42544,25645,1.235,53.7
1997-04-01,200212,57862,26791,1.231,55.3
1997-05-01,319108,153230,52303,1.226,66.7
1997-06-01,460459,129033,58273,1.229,67.9
1997-07-01,595059,175464,73661,1.205,73.3
1997-08-01,697060,180201,78440,1.253,73.4
1997-09-01,516567,116735,55700,1.277,70.1
1997-10-01,372171,69268,39180,1.242,58.4
1997-11-01,168533,32048,21621,1.213,51.2
1997-12-01,127604,21441,18538,1.177,41.2
1998-01-01,114143,25980,19255,1.131,44.3
